Year,Crop,Pesticide_Usage,Cropped_Area,Area_Percent,Total_Area_Sown,Area_Thousand_Hect,Production_Thousand_Tons,Index_Area_Sown,Index_Production,Share_Area_Sown,Pesticide_per_Area,Production_per_Area,Area_Risk,Pesticide_Risk,Production_Risk,Crisis_Level,Crop_Encoded,Target
2011-12,Total,24095.0,0.0,0.0,8764.1,17739.0,96.9,93.2,74.0,0.0,24095.0,0.005462232243517475,1,1,0,Medium Risk,5,2
2012-13,Total,22856.0,0.0,0.0,8910.2,18587.0,97.3,97.6,73.1,0.0,22856.0,0.005234559931138368,1,1,1,High Risk,5,0
2013-14,Total,22693.0,0.0,0.0,9142.1,19738.9,103.1,103.7,75.5,0.0,22693.0,0.00522292412828839,1,1,0,Medium Risk,5,2
2014-15,Total,25303.0,0.0,0.0,9226.5,19281.9,104.3,101.3,75.6,0.0,25303.0,0.0054089374523541576,1,1,0,Medium Risk,5,2
2015-16,Total,24578.0,0.0,0.0,9204.8,19526.7,103.3,102.6,75.1,0.0,24578.0,0.0052899214961311366,1,1,0,Medium Risk,5,2
2016-17,Total,22093.0,0.0,0.0,8964.3,20466.3,99.5,107.5,74.3,0.0,22093.0,0.0048614130833084974,1,1,0,Medium Risk,5,2
2017-18,Total,28332.0,0.0,0.0,9005.8,19178.6,98.0,100.7,72.8,0.0,28332.0,0.005109595612004422,1,1,1,High Risk,5,0
2018-19,Total,27529.0,0.0,0.0,8975.6,18377.2,97.1,96.5,72.4,0.0,27529.0,0.0052834336333264405,1,1,1,High Risk,5,0
2019-20,Total,27155.0,0.0,0.0,9738.4,19402.0,97.4,101.9,66.9,0.0,27155.0,0.005019842292429006,1,1,1,High Risk,5,0
2020-21,Total,28545.0,0.0,0.0,9823.5,20900.0,100.8,109.8,68.7,0.0,28545.0,0.004822735754270131,1,1,1,High Risk,5,0
2011-12,Wheat,0.0,6746.0,39.5,8764.1,17739.0,96.9,93.2,74.0,0.0,0.0,0.005462232243517475,0,0,0,Low Risk,7,1
2012-13,Wheat,0.0,6746.0,39.5,8910.2,18587.0,97.3,97.6,73.1,0.0,0.0,0.005234559931138368,0,0,1,Low Risk,7,1
2013-14,Wheat,0.0,6746.0,39.5,9142.1,19738.9,103.1,103.7,75.5,0.0,0.0,0.00522292412828839,0,0,0,Low Risk,7,1
2014-15,Wheat,6537.0,6746.0,39.5,9226.5,19281.9,104.3,101.3,75.6,0.0,0.9688750555802579,0.0054089374523541576,0,1,0,Low Risk,7,1
2015-16,Wheat,6472.0,6746.0,39.5,9204.8,19526.7,103.3,102.6,75.1,0.0,0.9592411442122425,0.0052899214961311366,0,1,0,Low Risk,7,1
2016-17,Wheat,6234.0,6746.0,39.5,8964.3,20466.3,99.5,107.5,74.3,0.0,0.9239662072032014,0.0048614130833084974,0,1,0,Low Risk,7,1
2017-18,Wheat,7872.0,6746.0,39.5,9005.8,19178.6,98.0,100.7,72.8,0.0,1.1667407736771898,0.005109595612004422,0,1,1,Medium Risk,7,2
2018-19,Wheat,7795.0,6746.0,39.5,8975.6,18377.2,97.1,96.5,72.4,0.0,1.1553282940566179,0.0052834336333264405,0,1,1,Medium Risk,7,2
2019-20,Wheat,7818.0,6746.0,39.5,9738.4,19402.0,97.4,101.9,66.9,0.0,1.1587372165406848,0.005019842292429006,0,1,1,Medium Risk,7,2
2020-21,Wheat,8095.0,6746.0,39.5,9823.5,20900.0,100.8,109.8,68.7,0.0,1.199792500370535,0.004822735754270131,0,1,1,Medium Risk,7,2
2011-12,Rice,2230.0,2394.0,14.0,8764.1,17739.0,96.9,93.2,74.0,0.0,0.9311064718162839,0.005462232243517475,0,1,0,Low Risk,3,1
2012-13,Rice,2226.0,2394.0,14.0,8910.2,18587.0,97.3,97.6,73.1,0.0,0.9294363256784969,0.005234559931138368,0,1,1,Medium Risk,3,2
2013-14,Rice,4341.0,2394.0,14.0,9142.1,19738.9,103.1,103.7,75.5,0.0,1.8125260960334029,0.00522292412828839,0,1,0,Low Risk,3,1
2014-15,Rice,3382.0,2394.0,14.0,9226.5,19281.9,104.3,101.3,75.6,0.0,1.4121085594989562,0.0054089374523541576,0,1,0,Low Risk,3,1
2015-16,Rice,3194.0,2394.0,14.0,9204.8,19526.7,103.3,102.6,75.1,0.0,1.3336116910229645,0.0052899214961311366,0,1,0,Low Risk,3,1
2016-17,Rice,3115.0,2394.0,14.0,8964.3,20466.3,99.5,107.5,74.3,0.0,1.3006263048016702,0.0048614130833084974,0,1,0,Low Risk,3,1
2017-18,Rice,4234.0,2394.0,14.0,9005.8,19178.6,98.0,100.7,72.8,0.0,1.7678496868475992,0.005109595612004422,0,1,1,Medium Risk,3,2
2018-19,Rice,4379.0,2394.0,14.0,8975.6,18377.2,97.1,96.5,72.4,0.0,1.82839248434238,0.0052834336333264405,0,1,1,Medium Risk,3,2
2019-20,Rice,4667.0,2394.0,14.0,9738.4,19402.0,97.4,101.9,66.9,0.0,1.948643006263048,0.005019842292429006,0,1,1,Medium Risk,3,2
2020-21,Rice,5506.0,2394.0,14.0,9823.5,20900.0,100.8,109.8,68.7,0.0,2.298956158663883,0.004822735754270131,0,1,1,Medium Risk,3,2
2011-12,Cotton,13688.0,2464.0,14.4,8764.1,17739.0,96.9,93.2,74.0,0.0,5.552941176470588,0.005462232243517475,0,1,0,Low Risk,0,1
