Year,Total,Wheat,Rice and Rice Nursery,Cotton,Maize,Sugarcane,Vegetables/ Fruits,Other Crops
2011-12,24095,-,2230,13688,1510,1675,3313,1679
2012-13,22856,-,2226,12469,1468,1690,3322,1683
2013-14,22693,-,4341,11215,1409,1990,1960,1778
2014-15,25303,6537,3382,12163,943,1021,1146,111
2015-16,24578,6472,3194,11649,1003,1016,1142,102
2016-17,22093,6234,3115,9429,1007,1120,1104,84
2017-18,28332,7872,4234,10880,1464,1546,1937,399
2018-19,27529,7795,4379,10006,1709,1279,1934,427
2019-20,27155,7818,4667,9964,1796,1159,1324,427
2020-21,28545,8095,5506,8195,1802,1399,1309,2239
